"","X","location","OBJECTID","sensor_id","field_code","individual_ID","fix_lat","fix_long","alt","sat","HDOP","PDOP","species","gmtneg5","sex","age","GPS.positional.dilution"
"1",53502,"MAERC",53502,65,321,11,27.1706783,-81.1722167,6,11,0.7,1,"swine",2017-04-12 00:00:00,FALSE,"A",NA
"2",53503,"MAERC",53503,65,321,11,27.17071,-81.1721817,-10,8,0.9,1.2,"swine",2017-04-12 00:30:00,FALSE,"A",NA
"3",53504,"MAERC",53504,65,321,11,27.170685,-81.1722167,-8,8,0.9,1.3,"swine",2017-04-12 01:00:00,FALSE,"A",NA
"4",53505,"MAERC",53505,65,321,11,27.1706167,-81.1722,-4,8,1,1.3,"swine",2017-04-12 01:29:00,FALSE,"A",NA
"5",53506,"MAERC",53506,65,321,11,27.17042,-81.172225,54,8,1.1,1.3,"swine",2017-04-12 02:00:00,FALSE,"A",NA
"6",53507,"MAERC",53507,65,321,11,27.17043,-81.1721117,66,7,1.2,1.5,"swine",2017-04-12 02:30:00,FALSE,"A",NA
"7",53508,"MAERC",53508,65,321,11,27.1704683,-81.1720833,54,8,0.9,1.2,"swine",2017-04-12 03:00:00,FALSE,"A",NA
"8",53509,"MAERC",53509,65,321,11,27.1704967,-81.1721233,18,7,0.9,1.3,"swine",2017-04-12 03:30:00,FALSE,"A",NA
"9",53510,"MAERC",53510,65,321,11,27.1700933,-81.1711617,-36,8,0.8,1.1,"swine",2017-04-12 04:00:00,FALSE,"A",NA
"10",53511,"MAERC",53511,65,321,11,27.170235,-81.1712267,-34,9,0.8,1.1,"swine",2017-04-12 04:30:00,FALSE,"A",NA
"11",53512,"MAERC",53512,65,321,11,27.1701483,-81.1711217,-20,6,1.4,3.3,"swine",2017-04-12 05:00:00,FALSE,"A",NA
"12",53513,"MAERC",53513,65,321,11,27.1702267,-81.1712567,2,5,1.8,2,"swine",2017-04-12 05:30:00,FALSE,"A",NA
"13",53514,"MAERC",53514,65,321,11,27.1699483,-81.1711467,10,10,0.9,1.2,"swine",2017-04-12 06:00:00,FALSE,"A",NA
"14",53515,"MAERC",53515,65,321,11,27.170065,-81.1712,22,9,0.9,1.3,"swine",2017-04-12 06:30:00,FALSE,"A",NA
"15",53516,"MAERC",53516,65,321,11,27.169595,-81.1715,-16,7,1.1,1.4,"swine",2017-04-12 06:59:00,FALSE,"A",NA
"16",53517,"MAERC",53517,65,321,11,27.1696833,-81.1715433,-18,6,1.4,2.8,"swine",2017-04-12 07:30:00,FALSE,"A",NA
"17",53518,"MAERC",53518,65,321,11,27.1697183,-81.1713967,10,9,1.1,1.3,"swine",2017-04-12 08:00:00,FALSE,"A",NA
"18",53519,"MAERC",53519,65,321,11,27.1701567,-81.171295,18,11,0.8,1,"swine",2017-04-12 08:30:00,FALSE,"A",NA
"19",53520,"MAERC",53520,65,321,11,27.1702567,-81.1711567,36,9,0.9,1.2,"swine",2017-04-12 09:00:00,FALSE,"A",NA
"20",53521,"MAERC",53521,65,321,11,27.1702883,-81.1709933,-8,11,0.8,1.1,"swine",2017-04-12 09:30:00,FALSE,"A",NA
"21",53522,"MAERC",53522,65,321,11,27.1702333,-81.171025,-16,10,0.8,1.1,"swine",2017-04-12 10:00:00,FALSE,"A",NA
"22",53523,"MAERC",53523,65,321,11,27.1701267,-81.1711917,4,11,0.7,1,"swine",2017-04-12 10:30:00,FALSE,"A",NA
"23",53524,"MAERC",53524,65,321,11,27.169935,-81.1712367,2,9,1,1.3,"swine",2017-04-12 11:00:00,FALSE,"A",NA
"24",53525,"MAERC",53525,65,321,11,27.16998,-81.17128,-2,8,1,1.3,"swine",2017-04-12 11:30:00,FALSE,"A",NA
"25",53526,"MAERC",53526,65,321,11,27.1704167,-81.1712583,34,9,1,2,"swine",2017-04-12 12:00:00,FALSE,"A",NA
"26",53527,"MAERC",53527,65,321,11,27.1704883,-81.171435,28,9,0.8,1.8,"swine",2017-04-12 12:30:00,FALSE,"A",NA
"27",53528,"MAERC",53528,65,321,11,27.1704833,-81.1712067,22,10,0.7,1.1,"swine",2017-04-12 13:00:00,FALSE,"A",NA
"28",53529,"MAERC",53529,65,321,11,27.17051,-81.1711583,14,11,0.7,1,"swine",2017-04-12 13:30:00,FALSE,"A",NA
"29",53530,"MAERC",53530,65,321,11,27.1707117,-81.1710567,60,7,1.3,1.6,"swine",2017-04-12 14:00:00,FALSE,"A",NA
"30",53531,"MAERC",53531,65,321,11,27.1706683,-81.1710817,68,9,0.9,1.1,"swine",2017-04-12 14:30:00,FALSE,"A",NA
"31",53532,"MAERC",53532,65,321,11,27.17066,-81.1712983,12,9,0.8,1.1,"swine",2017-04-12 15:00:00,FALSE,"A",NA
"32",53533,"MAERC",53533,65,321,11,27.1706083,-81.1713883,12,9,0.8,1.1,"swine",2017-04-12 15:30:00,FALSE,"A",NA
"33",53534,"MAERC",53534,65,321,11,27.1705717,-81.1713533,18,9,0.9,1.2,"swine",2017-04-12 16:00:00,FALSE,"A",NA
"34",53535,"MAERC",53535,65,321,11,27.1705533,-81.1712633,2,7,1.1,1.4,"swine",2017-04-12 16:30:00,FALSE,"A",NA
"35",53536,"MAERC",53536,65,321,11,27.1706667,-81.1712367,12,6,1.5,1.7,"swine",2017-04-12 17:00:00,FALSE,"A",NA
"36",53537,"MAERC",53537,65,321,11,27.1705683,-81.1711483,28,8,1,1.3,"swine",2017-04-12 17:30:00,FALSE,"A",NA
"37",53538,"MAERC",53538,65,321,11,27.1704183,-81.1713617,8,11,0.8,1.4,"swine",2017-04-12 18:00:00,FALSE,"A",NA
"38",53539,"MAERC",53539,65,321,11,27.1704367,-81.1713917,8,11,0.7,1.1,"swine",2017-04-12 18:30:00,FALSE,"A",NA
"39",53540,"MAERC",53540,65,321,11,27.169995,-81.1727733,18,10,0.8,1.2,"swine",2017-04-12 19:00:00,FALSE,"A",NA
"40",53541,"MAERC",53541,65,321,11,27.1719567,-81.1723233,14,8,1.1,1.3,"swine",2017-04-12 19:30:00,FALSE,"A",NA
"41",53542,"MAERC",53542,65,321,11,27.1710067,-81.1705217,-4,7,1,1.2,"swine",2017-04-12 20:00:00,FALSE,"A",NA
"42",53543,"MAERC",53543,65,321,11,27.1717567,-81.1697533,-18,10,0.8,1,"swine",2017-04-12 20:30:00,FALSE,"A",NA
"43",53544,"MAERC",53544,65,321,11,27.1725083,-81.1712367,22,7,1,1.4,"swine",2017-04-12 21:00:00,FALSE,"A",NA
"44",53545,"MAERC",53545,65,321,11,27.172785,-81.1719967,22,8,0.8,1.2,"swine",2017-04-12 21:30:00,FALSE,"A",NA
"45",53546,"MAERC",53546,65,321,11,27.17268,-81.172905,24,6,1.2,1.5,"swine",2017-04-12 22:00:00,FALSE,"A",NA
"46",53547,"MAERC",53547,65,321,11,27.1707917,-81.1727283,46,7,1.1,1.4,"swine",2017-04-12 22:30:00,FALSE,"A",NA
"47",53548,"MAERC",53548,65,321,11,27.17049,-81.1720617,58,9,0.8,1.2,"swine",2017-04-12 23:00:00,FALSE,"A",NA
"48",53549,"MAERC",53549,65,321,11,27.1707733,-81.1720717,10,11,0.7,1,"swine",2017-04-12 23:30:00,FALSE,"A",NA
"49",53550,"MAERC",53550,65,321,11,27.1706833,-81.1719483,-12,7,1,1.7,"swine",2017-04-13 00:00:00,FALSE,"A",NA
"50",53551,"MAERC",53551,65,321,11,27.17078,-81.1720567,4,9,0.8,1.2,"swine",2017-04-13 00:30:00,FALSE,"A",NA
"51",53552,"MAERC",53552,65,321,11,27.17082,-81.1720317,-6,7,1.1,1.4,"swine",2017-04-13 01:00:00,FALSE,"A",NA
"52",53553,"MAERC",53553,65,321,11,27.170715,-81.172085,24,5,1.3,1.6,"swine",2017-04-13 01:30:00,FALSE,"A",NA
"53",53554,"MAERC",53554,65,321,11,27.1707667,-81.17183,82,6,1.4,1.6,"swine",2017-04-13 02:00:00,FALSE,"A",NA
"54",53555,"MAERC",53555,65,321,11,27.1705383,-81.1723067,-4,6,1.1,1.4,"swine",2017-04-13 02:30:00,FALSE,"A",NA
"55",53556,"MAERC",53556,65,321,11,27.170545,-81.1722833,-4,6,1,1.3,"swine",2017-04-13 03:00:00,FALSE,"A",NA
"56",53557,"MAERC",53557,65,321,11,27.1702483,-81.1717833,70,6,1,1.4,"swine",2017-04-13 03:30:00,FALSE,"A",NA
"57",53558,"MAERC",53558,65,321,11,27.17038,-81.17201,22,7,1,1.3,"swine",2017-04-13 04:00:00,FALSE,"A",NA
"58",53559,"MAERC",53559,65,321,11,27.1705433,-81.1719683,-52,8,0.9,1.3,"swine",2017-04-13 04:30:00,FALSE,"A",NA
"59",53560,"MAERC",53560,65,321,11,27.1705117,-81.1721233,-20,9,0.9,1.2,"swine",2017-04-13 05:00:00,FALSE,"A",NA
"60",53561,"MAERC",53561,65,321,11,27.1703717,-81.17214,-6,9,1.1,1.7,"swine",2017-04-13 05:30:00,FALSE,"A",NA
"61",53562,"MAERC",53562,65,321,11,27.17082,-81.1720583,-36,9,1,1.4,"swine",2017-04-13 06:00:00,FALSE,"A",NA
"62",53563,"MAERC",53563,65,321,11,27.170155,-81.1721233,0,8,0.9,1.3,"swine",2017-04-13 06:30:00,FALSE,"A",NA
"63",53564,"MAERC",53564,65,321,11,27.169925,-81.17217,-24,7,1.1,1.4,"swine",2017-04-13 06:59:00,FALSE,"A",NA
"64",53565,"MAERC",53565,65,321,11,27.1699917,-81.1723917,18,7,1.2,1.5,"swine",2017-04-13 07:30:00,FALSE,"A",NA
"65",53566,"MAERC",53566,65,321,11,27.1704967,-81.1720817,-24,9,1,1.3,"swine",2017-04-13 08:00:00,FALSE,"A",NA
"66",53567,"MAERC",53567,65,321,11,27.1709133,-81.1721683,64,9,0.9,1.2,"swine",2017-04-13 08:30:00,FALSE,"A",NA
"67",53568,"MAERC",53568,65,321,11,27.1706483,-81.1722883,52,7,1,1.3,"swine",2017-04-13 08:59:00,FALSE,"A",NA
"68",53569,"MAERC",53569,65,321,11,27.1705817,-81.1721733,28,9,0.9,1.2,"swine",2017-04-13 09:30:00,FALSE,"A",NA
"69",53570,"MAERC",53570,65,321,11,27.17067,-81.1721333,12,9,0.8,1.1,"swine",2017-04-13 10:00:00,FALSE,"A",NA
"70",53571,"MAERC",53571,65,321,11,27.17053,-81.1722767,-20,10,0.8,1.1,"swine",2017-04-13 10:30:00,FALSE,"A",NA
"71",53572,"MAERC",53572,65,321,11,27.1705633,-81.17224,6,9,1,1.3,"swine",2017-04-13 11:00:00,FALSE,"A",NA
"72",53573,"MAERC",53573,65,321,11,27.1705983,-81.1722583,12,10,0.8,1.1,"swine",2017-04-13 11:30:00,FALSE,"A",NA
"73",53574,"MAERC",53574,65,321,11,27.17047,-81.1722333,32,7,1,1.3,"swine",2017-04-13 12:00:00,FALSE,"A",NA
"74",53575,"MAERC",53575,65,321,11,27.1706333,-81.172315,-6,7,1,1.3,"swine",2017-04-13 12:30:00,FALSE,"A",NA
"75",53576,"MAERC",53576,65,321,11,27.1705283,-81.1723017,10,9,0.8,1.1,"swine",2017-04-13 13:00:00,FALSE,"A",NA
"76",53577,"MAERC",53577,65,321,11,27.1707433,-81.1723833,-32,7,0.9,1.2,"swine",2017-04-13 13:30:00,FALSE,"A",NA
"77",53578,"MAERC",53578,65,321,11,27.1706717,-81.1724317,56,6,1.2,1.5,"swine",2017-04-13 14:00:00,FALSE,"A",NA
"78",53579,"MAERC",53579,65,321,11,27.1706867,-81.1723433,50,9,0.9,1.1,"swine",2017-04-13 14:30:00,FALSE,"A",NA
"79",53580,"MAERC",53580,65,321,11,27.17072,-81.1722467,42,8,0.9,1.2,"swine",2017-04-13 15:00:00,FALSE,"A",NA
"80",53581,"MAERC",53581,65,321,11,27.1708333,-81.1720033,8,8,0.9,1.3,"swine",2017-04-13 15:30:00,FALSE,"A",NA
"81",53582,"MAERC",53582,65,321,11,27.1709467,-81.1720617,-38,8,1,1.7,"swine",2017-04-13 16:00:00,FALSE,"A",NA
"82",53583,"MAERC",53583,65,321,11,27.1710483,-81.1721283,-22,7,1.1,1.4,"swine",2017-04-13 16:30:00,FALSE,"A",NA
"83",53584,"MAERC",53584,65,321,11,27.1708217,-81.1720883,-2,9,0.9,1.1,"swine",2017-04-13 17:00:00,FALSE,"A",NA
"84",53585,"MAERC",53585,65,321,11,27.1705267,-81.1722817,8,9,0.9,1.2,"swine",2017-04-13 17:30:00,FALSE,"A",NA
"85",53586,"MAERC",53586,65,321,11,27.1705583,-81.1722983,-2,10,0.8,1.5,"swine",2017-04-13 18:00:00,FALSE,"A",NA
"86",53587,"MAERC",53587,65,321,11,27.170985,-81.1713133,6,9,0.9,1.2,"swine",2017-04-13 18:30:00,FALSE,"A",NA
"87",53588,"MAERC",53588,65,321,11,27.1714067,-81.170975,18,8,1,1.3,"swine",2017-04-13 19:00:00,FALSE,"A",NA
"88",53589,"MAERC",53589,65,321,11,27.1714667,-81.1695317,22,9,0.9,1.2,"swine",2017-04-13 19:30:00,FALSE,"A",NA
"89",53590,"MAERC",53590,65,321,11,27.1704517,-81.1697883,20,8,1,1.3,"swine",2017-04-13 20:00:00,FALSE,"A",NA
"90",53591,"MAERC",53591,65,321,11,27.1697633,-81.1695667,-36,5,1.4,1.6,"swine",2017-04-13 20:30:00,FALSE,"A",NA
"91",53592,"MAERC",53592,65,321,11,27.1694967,-81.1696533,4,7,0.9,1.2,"swine",2017-04-13 21:00:00,FALSE,"A",NA
"92",53593,"MAERC",53593,65,321,11,27.169165,-81.1692333,-22,7,0.9,1.3,"swine",2017-04-13 21:30:00,FALSE,"A",NA
"93",53594,"MAERC",53594,65,321,11,27.1686317,-81.1706317,62,6,1.2,1.4,"swine",2017-04-13 22:00:00,FALSE,"A",NA
