"","location","OBJECTID","sensor_id","field_code","individual_ID","fix_lat","fix_long","alt","sat","HDOP","PDOP","species","gmtneg5","sex","age","GPS.positional.dilution"
"122648","MAERC",122648,72,437,"26",27.1497167,-81.1772267,14,9,0.9,1.3,"swine","4/21/2017 0:00","M","A",NA
"122649","MAERC",122649,72,437,"26",27.1498267,-81.178335,-224,6,1.2,1.6,"swine","4/21/2017 0:30","M","A",NA
"122650","MAERC",122650,72,437,"26",27.1493617,-81.180735,22,8,0.9,1.3,"swine","4/21/2017 1:00","M","A",NA
"122651","MAERC",122651,72,437,"26",27.1483767,-81.182675,30,8,1,1.3,"swine","4/21/2017 1:30","M","A",NA
"122652","MAERC",122652,72,437,"26",27.1486067,-81.1828817,38,6,1.1,1.3,"swine","4/21/2017 2:00","M","A",NA
"122653","MAERC",122653,72,437,"26",27.1485433,-81.1827117,0,8,0.9,1.2,"swine","4/21/2017 2:30","M","A",NA
"122654","MAERC",122654,72,437,"26",27.1485,-81.1827417,-28,8,0.9,1.2,"swine","4/21/2017 3:00","M","A",NA
"122655","MAERC",122655,72,437,"26",27.1467833,-81.1844733,-34,6,1.2,1.5,"swine","4/21/2017 3:29","M","A",NA
"122656","MAERC",122656,72,437,"26",27.1462917,-81.1841417,-28,6,1.2,1.5,"swine","4/21/2017 4:00","M","A",NA
"122657","MAERC",122657,72,437,"26",27.1465067,-81.1845417,12,9,0.9,1.2,"swine","4/21/2017 4:30","M","A",NA
"122658","MAERC",122658,72,437,"26",27.14654,-81.1846033,22,9,0.9,1.2,"swine","4/21/2017 5:00","M","A",NA
"122659","MAERC",122659,72,437,"26",27.14652,-81.184155,22,10,0.8,1.1,"swine","4/21/2017 5:30","M","A",NA
"122660","MAERC",122660,72,437,"26",27.146355,-81.18404,10,10,0.8,1.1,"swine","4/21/2017 6:00","M","A",NA
"122661","MAERC",122661,72,437,"26",27.14629,-81.1841167,16,8,1,1.3,"swine","4/21/2017 6:30","M","A",NA
"122662","MAERC",122662,72,437,"26",27.1461783,-81.184175,-24,7,1.2,1.5,"swine","4/21/2017 6:59","M","A",NA
"122663","MAERC",122663,72,437,"26",27.1464217,-81.1841117,8,8,1,1.3,"swine","4/21/2017 7:00","M","A",NA
"122664","MAERC",122664,72,437,"26",27.1463967,-81.1841383,0,10,0.8,1.1,"swine","4/21/2017 7:30","M","A",NA
"122665","MAERC",122665,72,437,"26",27.146375,-81.184205,6,10,0.8,1.1,"swine","4/21/2017 8:00","M","A",NA
"122666","MAERC",122666,72,437,"26",27.1464633,-81.1841167,16,10,0.8,1.2,"swine","4/21/2017 8:30","M","A",NA
"122667","MAERC",122667,72,437,"26",27.14646,-81.18416,26,11,0.7,1,"swine","4/21/2017 9:00","M","A",NA
"122668","MAERC",122668,72,437,"26",27.1465,-81.1842133,36,9,0.8,1.1,"swine","4/21/2017 9:30","M","A",NA
"122669","MAERC",122669,72,437,"26",27.1464417,-81.1842033,8,6,1.2,1.5,"swine","4/21/2017 10:00","M","A",NA
"122670","MAERC",122670,72,437,"26",27.14647,-81.1843633,4,8,1,1.3,"swine","4/21/2017 10:30","M","A",NA
"122671","MAERC",122671,72,437,"26",27.145915,-81.1837733,58,9,0.9,1.2,"swine","4/21/2017 11:00","M","A",NA
"122672","MAERC",122672,72,437,"26",27.1465267,-81.1839667,46,8,1.1,1.4,"swine","4/21/2017 11:30","M","A",NA
"122673","MAERC",122673,72,437,"26",27.1464167,-81.18415,20,9,0.8,1.1,"swine","4/21/2017 12:00","M","A",NA
"122674","MAERC",122674,72,437,"26",27.1463833,-81.1839033,-6,8,0.9,1.2,"swine","4/21/2017 12:30","M","A",NA
"122675","MAERC",122675,72,437,"26",27.14645,-81.1839917,-6,7,1.1,1.4,"swine","4/21/2017 13:00","M","A",NA
"122676","MAERC",122676,72,437,"26",27.146395,-81.1840267,-12,7,1,1.3,"swine","4/21/2017 13:30","M","A",NA
"122677","MAERC",122677,72,437,"26",27.1463617,-81.1841717,14,10,0.8,1.1,"swine","4/21/2017 14:00","M","A",NA
"122678","MAERC",122678,72,437,"26",27.1462617,-81.1841983,14,9,0.9,1.6,"swine","4/21/2017 14:30","M","A",NA
"122679","MAERC",122679,72,437,"26",27.1462283,-81.1842417,28,10,0.8,1.1,"swine","4/21/2017 15:00","M","A",NA
